pgs_id	super_pop	n_samples	n_snps	mean	sd
PGS002804	SAS	489	1092677	2.10951	0.825622
PGS002804	ALL	2504	1092677	-0.629832	3.79346
PGS003725	AFR	661	1296172	-6.5529	0.540994
PGS003725	AMR	347	1296172	-8.00147	0.731406
PGS003725	EAS	504	1296172	-7.69276	0.61866
PGS003725	EUR	503	1296172	-7.7959	0.729076
PGS003725	SAS	489	1296172	-7.39036	0.727337
PGS003725	ALL	2504	1296172	-7.39631	0.852173
PGS003765	AFR	661	444	32.0464	0.741643
PGS003765	AMR	347	444	30.9455	0.832664
PGS003765	EAS	504	444	30.7477	0.684715
PGS003765	EUR	503	444	30.7954	0.814921
PGS003765	SAS	489	444	31.0327	0.809216
PGS003765	ALL	2504	444	31.1832	0.934565
PGS003850	AFR	661	186	0.987392	0.496048
PGS003850	AMR	347	186	0.979597	0.595258
PGS003850	EAS	504	186	1.1284	0.531444
PGS003850	EUR	503	186	1.06508	0.570639
PGS003850	SAS	489	186	1.03441	0.547927
PGS003850	ALL	2504	186	1.03948	0.545348
PGS004081	AFR	661	1069203	0.483443	0.284894
PGS004081	AMR	347	1069203	0.816547	0.470904
PGS004081	EAS	504	1069203	0.773351	0.331699
PGS004081	EUR	503	1069203	0.485702	0.383161
PGS004081	SAS	489	1069203	0.78643	0.375154
PGS004081	ALL	2504	1069203	0.647579	0.392861
PGS004092	AFR	661	1103769	0.636692	0.120684
PGS004092	AMR	347	1103769	-0.0235323	0.140181
PGS004092	EAS	504	1103769	-0.0507894	0.107132
PGS004092	EUR	503	1103769	-0.0541481	0.129751
PGS004092	SAS	489	1103769	-0.0161206	0.115889
PGS004092	ALL	2504	1103769	0.140563	0.32153
PGS004427	AFR	661	830186	-0.170693	0.12509
PGS004427	AMR	347	830186	-0.130727	0.159771
PGS004427	EAS	504	830186	-0.173325	0.155825
PGS004427	EUR	503	830186	-0.0841961	0.153229
PGS004427	SAS	489	830186	-0.142594	0.14995
PGS004427	ALL	2504	830186	-0.142822	0.150766
PGS004451	AFR	661	830186	-0.00361606	0.0540041
PGS004451	AMR	347	830186	-0.00969705	0.0727144
PGS004451	EAS	504	830186	-0.00617383	0.0656262
PGS004451	EUR	503	830186	-0.0329887	0.0722433
PGS004451	SAS	489	830186	-0.0170961	0.0674684
PGS004451	ALL	2504	830186	-0.0135064	0.0664612
PGS004885	AFR	661	801417	1.13158	0.132207
PGS004885	AMR	347	801417	0.787833	0.200974
PGS004885	EAS	504	801417	0.999711	0.14981
PGS004885	EUR	503	801417	0.522936	0.568411
PGS004885	SAS	489	801417	0.755154	0.170615
PGS004885	ALL	2504	801417	0.861627	0.366447
PGS005168	AFR	661	1113586	-1.2415	0.0694971
PGS005168	AMR	347	1113586	-1.33898	0.087052
PGS005168	EAS	504	1113586	-1.32263	0.0862087
PGS005168	EUR	503	1113586	-1.33927	0.0849673
PGS005168	SAS	489	1113586	-1.39706	0.0857792
PGS005168	ALL	2504	1113586	-1.32136	0.0980242
PGS005368	AFR	661	1298374	0.976468	0.37894
PGS005368	AMR	347	1298374	1.15845	0.717871
PGS005368	EAS	504	1298374	1.57575	0.292645
PGS005368	EUR	503	1298374	0.275205	0.336946
PGS005368	SAS	489	1298374	0.90766	0.33328
PGS005368	ALL	2504	1298374	0.968004	0.589342
STROKE	AFR	661	1154520	-0.640894	0.157806
STROKE	AMR	347	1154520	-1.12549	0.227381
STROKE	EAS	504	1154520	-0.727293	0.158536
STROKE	EUR	503	1154520	-1.36201	0.204623
STROKE	SAS	489	1154520	-1.18026	0.182032
STROKE	ALL	2504	1154520	-0.975627	0.341944
