genome_id	pgs	matched	height_cm	sex
5310.23andme.3815	0.517879	12985	175.0	
5323.23andme.3830	-0.981814	13019	162.6	
5330.ancestry.3837	0.201655	16437	165.1	F
5342.23andme.3856	-4.163046	13012	165.1	F
5352.23andme.3863	-0.800525	13012	172.7	F
5362.ftdna-illumina.3875	-1.399453	13513	175.0	M
5425.23andme.3932	1.866914	12983	170.2	
5432.23andme.3935	-6.036311	12580	175.3	M
5435.23andme.3938	-4.420791	13026	157.5	
5456.23andme.3955	-1.541077	12538	175.3	M
5460.23andme.3958	-1.955368	18166	162.6	
5475.23andme.3971	3.059593	12568	188.0	
5480.genes-for-good.3975	-7.478473	8854	165.1	F
5487.23andme.3981	-4.163328	12971	165.1	F
5494.ancestry.3990	0.552599	16445	172.7	
5506.ancestry.4000	1.592336	16439	157.5	F
5514.ftdna-illumina.4005	1.932613	13450	180.0	
5515.23andme.4007	-0.573071	12561	177.8	M
5516.23andme.4008	-1.004441	12884	165.1	
5521.23andme.4013	-6.234536	13022	152.4	
5527.23andme.4018	-2.929011	12582	170.2	M
5536.ancestry.4031	2.233881	16418	167.6	
5544.ftdna-illumina.4037	0.754457	13445	175.0	
5552.23andme.4043	-1.258878	13008	170.0	
5559.ancestry.4047	2.760630	15805	188.0	
556.23andme.254	-2.102745	17879	172.7	M
5573.ftdna-illumina.4062	-0.384535	13982	167.6	F
5581.ancestry.4072	0.878763	16458	161.3	F
561.23andme.257	1.746569	17756	162.6	F
5612.23andme.4103	-2.213888	12542	177.8	
5621.23andme.4245	-0.039835	12592	182.9	M
563.23andme.258	0.815267	17320	172.7	M
5633.ancestry.5318	-1.336539	16230	160.0	
5637.23andme.4123	1.309129	12599	175.0	M
569.23andme.260	2.038248	18535	175.3	F
5719.23andme.4214	-0.801741	13029	162.6	F
5727.ancestry.4203	0.034841	16447	182.9	
5741.23andme.4217	-1.185671	13013	167.6	
5743.23andme.4219	-0.798760	12589	182.9	M
5773.23andme.4247	-0.925545	13022	178.0	F
5778.23andme.4253	-3.534372	12589	181.0	M
5792.ftdna-illumina.4268	1.440961	13967	172.0	F
5795.ancestry.4272	0.239960	15783	190.5	
580.23andme.265	0.000000	0	160.0	M
5800.23andme.4277	-3.036496	12509	177.8	M
5815.23andme.4291	0.300183	13321	182.9	
5820.23andme.4298	0.114293	12982	149.9	
583.23andme.268	1.197458	17281	178.0	M
5844.ftdna-illumina.4323	0.074900	13951	175.3	F
5850.23andme.4328	-1.840619	12557	187.0	
5857.ancestry.4335	3.505597	16446	182.9	
5859.ftdna-illumina.4336	0.943723	13519	197.0	
5866.23andme.4342	-0.718217	13014	172.7	
5868.23andme.4346	2.279737	36373	160.0	F
589.23andme.273	3.137631	17267	190.5	M
5900.23andme.4370	-3.762107	12571	172.7	M
5912.ftdna-illumina.4381	1.932462	13610	180.0	
5917.23andme.4386	-1.906724	13006	170.2	F
5918.23andme.4387	-3.533353	13012	157.5	F
5935.ancestry.4397	-1.049042	15800	175.3	M
594.23andme.276	-3.796614	17337	180.3	M
5943.ancestry.7109	-1.522898	16449	160.0	F
602.23andme.279	-2.649591	17285	183.0	M
6035.23andme.4529	0.267284	17593	168.0	
6074.23andme.4581	-0.675948	12583	177.8	M
609.23andme.401	6.160808	17174	182.0	M
6093.ancestry.4598	-3.360705	15803	157.5	
610.23andme.301	0.104809	17222	172.7	M
6103.23andme.4608	-5.271305	12581	183.0	
6117.ancestry.4637	-1.423803	15794	170.2	M
6124.23andme.4643	0.616425	12967	167.6	
6127.ancestry.4646	-0.702952	15798	175.3	M
6156.23andme.4668	-3.076655	12592	177.8	M
6169.23andme.4677	-0.217330	13027	180.3	F
6182.ancestry.4686	-2.221350	16399	157.5	
6184.ftdna-illumina.4689	-2.503167	13801	149.9	F
6189.ancestry.4692	1.665196	16376	167.6	
6191.ftdna-illumina.4695	-2.128749	13981	162.6	F
6204.23andme.4709	-2.968579	13006	157.5	
6221.ancestry.4725	1.355951	16312	167.6	F
6228.ftdna-illumina.4730	1.283161	13591	186.0	M
6238.23andme.4736	-1.393620	13022	172.7	F
6247.ftdna-illumina.4742	-2.179798	13541	183.0	
6257.23andme.4754	-0.366821	13022	162.6	F
6263.23andme.4912	-2.920984	8373	180.3	M
6296.ancestry.4789	2.255632	15789	177.8	
6321.23andme-exome-vcf.4813	1.467158	36147	157.5	F
6367.23andme.4857	-2.476404	13016	175.3	F
637.23andme.293	-0.963366	17305	188.0	M
6381.23andme.4872	-1.097009	12559	190.5	M
644.23andme.295	3.621399	12174	172.7	M
646.23andme.297	-1.946115	17293	170.2	M
6483.23andme.4903	-3.808555	8663	160.0	F
6493.ancestry.4913	-1.228514	15741	160.0	F
650.23andme.299	-2.596861	17338	174.0	M
651.23andme.300	-3.552763	17309	179.0	M
6510.23andme.4918	-0.681632	12597	183.0	M
6560.23andme.4957	-1.370270	8669	160.0	F
6573.23andme.4971	-5.329503	12989	152.4	F
6583.23andme.4994	-4.768282	8579	162.6	F
6589.23andme.4987	4.355835	17306	190.5	M
6633.ancestry.5035	2.286688	16458	175.3	F
6639.23andme.5043	-5.567334	8671	157.5	
6665.ancestry.5064	0.839908	15577	167.6	M
669.23andme.471	-0.981278	17315	180.3	M
6695.ftdna-illumina.5091	-0.967716	13489	160.0	F
6699.23andme.5093	-5.307915	8660	152.4	
6725.23andme.5116	1.027396	8585	182.9	
6745.23andme.5134	-4.113479	8331	180.3	
678.23andme.315	-0.465011	17881	182.9	M
6793.23andme.5176	0.000000	0	160.0	F
6805.23andme.5189	-3.836961	8661	157.5	F
6814.23andme.5201	-1.935819	13016	176.0	
6815.23andme.5202	-8.240356	8946	162.6	F
6828.ancestry.5211	-0.226978	16384	175.3	
6832.23andme.5214	-3.421841	13024	167.6	F
684.23andme.319	1.409719	17902	170.2	F
685.23andme.545	2.631095	17632	165.0	
6858.23andme.5234	-0.601099	12224	172.7	M
6861.23andme.6156	4.200429	17830	167.6	
6866.23andme.5241	-2.560147	8668	170.2	F
6869.23andme.5242	-3.256516	8948	149.9	F
6873.23andme.5244	-2.630291	8331	177.8	M
6916.ancestry.5306	-2.821166	16447	152.4	F
693.23andme.321	-0.729666	12155	185.4	M
6935.ancestry.5333	0.905024	14025	175.3	F
6943.23andme.5343	-1.687902	8359	182.9	M
6949.ancestry.6034	-1.282831	15790	177.8	M
6959.ftdna-illumina.5360	1.550687	13270	186.0	M
6971.23andme.5370	-5.866367	13017	160.0	F
6993.23andme.5413	-6.323817	12965	149.9	
7011.ancestry.5423	-1.393140	15618	172.7	M
7020.23andme.5431	-1.045708	12558	182.9	M
7028.ancestry.5438	0.762882	15618	182.9	M
704.23andme.323	2.179506	12137	177.8	M
7053.23andme.5459	0.421641	8640	170.2	F
7089.23andme.5488	-1.355595	13031	160.0	F
7098.23andme.5501	-0.373134	8565	180.3	F
7099.ancestry.5502	-0.741925	16439	162.6	F
7119.23andme.5524	-0.556123	8369	188.0	M
7127.23andme.5529	-0.231793	17239	172.0	M
7134.ancestry.5536	-0.592680	15799	177.8	M
7141.ancestry.5540	-0.028860	16368	165.1	F
7144.23andme.5543	-3.697044	8341	180.3	M
7153.23andme.5550	0.236842	8366	190.5	M
7163.ftdna-illumina.5947	-2.779957	13508	186.0	M
717.23andme.333	-0.098786	12170	190.5	M
7184.ancestry.5566	-0.741715	16272	152.4	F
7189.ancestry.5572	-0.025098	13438	187.0	M
7190.ancestry.5574	0.438837	16269	172.7	F
7195.23andme.5578	-2.196094	8331	180.3	M
721.23andme.336	0.017588	17794	160.0	F
7214.23andme.5596	-2.730043	12532	172.7	
7218.23andme.5600	-2.144711	8361	183.0	
7228.ancestry.5608	4.444137	16452	180.3	F
7229.23andme.5609	-1.142889	12558	180.3	
7231.23andme.5611	-6.029152	8676	149.9	F
7244.ancestry.5624	0.925357	15617	187.0	
7252.23andme.5631	-0.679735	8365	180.3	M
726.23andme.338	0.791233	17987	180.3	M
7266.23andme.5643	-3.713592	8664	180.3	F
7280.23andme.5651	-1.399351	8673	167.6	F
7281.ancestry.5652	-3.031222	15605	183.0	
7297.ancestry.5666	0.964251	16243	162.6	
7307.ancestry.5676	-2.388990	13573	170.2	M
7320.23andme.5688	0.849590	8366	182.9	M
7339.ancestry.5702	4.209718	16239	172.7	
7359.23andme.5717	0.219696	8663	172.7	F
7360.23andme.5718	-6.619285	12597	170.2	M
7372.ftdna-illumina.5726	-1.203257	13203	175.3	M
7376.ancestry.5729	-3.273535	13442	175.3	M
7379.23andme.5731	-2.064012	8656	172.7	
7413.23andme.5763	-4.453103	13033	167.6	
7454.ancestry.5806	2.021771	15615	177.8	M
7466.23andme.5813	-5.368603	8367	185.4	M
7470.ancestry.5817	0.909205	16243	170.2	F
7475.23andme.5821	0.845329	13005	167.6	F
748.23andme.354	-0.232719	12532	170.2	
7485.23andme.5830	-1.902060	8654	170.2	F
749.23andme.355	-3.886145	17294	180.3	M
7493.23andme-exome-vcf.5843	-0.241763	36147	152.4	F
7498.ancestry.5842	4.132525	16447	167.6	F
7500.ancestry.5845	0.021141	15623	188.0	M
7527.ftdna-illumina.5879	-1.012544	13674	175.3	F
7538.ftdna-illumina.5884	-1.260283	13510	186.0	
7547.23andme.5897	1.281658	17610	155.0	F
7561.ancestry.5907	1.104690	16181	161.3	F
7567.ancestry.5913	1.843397	15618	180.3	M
7569.ancestry.5915	-2.416960	16264	149.9	F
7572.ancestry.5917	1.629396	15799	175.3	M
758.23andme.387	0.557719	17304	180.3	M
7585.23andme.5932	-2.558704	12984	167.6	
7597.ftdna-illumina.5943	-2.781033	13678	152.4	F
7610.23andme.5957	-3.528476	8362	169.0	M
7613.ancestry.5960	0.967491	16234	175.3	F
7639.23andme.5983	-3.516315	8561	157.5	F
7657.23andme.6002	-0.335440	8672	172.7	F
7685.23andme.6030	-0.431407	8677	165.1	
7688.ftdna-illumina.6032	-0.190122	13670	157.5	F
7693.ancestry.6038	-1.528213	16206	162.6	F
7701.23andme.6045	4.016743	36373	157.5	
7707.ancestry.6050	3.348154	16257	160.0	F
7732.ftdna-illumina.6077	2.834372	13259	179.0	M
7735.ancestry.6084	1.274295	13956	149.9	F
775.23andme.365	-4.343230	17309	177.8	M
7753.ancestry.6103	-3.124746	15786	168.9	M
7757.ancestry.6122	-0.843446	16251	162.0	
7759.23andme.6108	-4.029367	12569	165.1	M
777.23andme.367	-5.415065	17270	170.2	M
7781.ancestry.6136	0.905937	15620	177.8	M
7783.23andme.6137	-0.758269	8672	182.9	F
7785.23andme.6141	-1.086392	13018	165.1	
779.23andme.369	-0.142869	17275	177.0	M
782.23andme.371	3.385518	17779	170.2	F
7828.ftdna-illumina.6185	-0.056846	13666	166.0	F
7841.23andme.6196	-2.571212	8680	160.0	F
7856.ancestry.6210	2.393417	16451	162.6	
7876.23andme.6234	-3.286962	12943	177.8	F
7898.23andme.6245	-1.864046	8339	190.5	M
7912.ftdna-illumina.6259	1.031592	13419	170.2	F
7915.23andme.6262	2.724012	8369	187.0	M
792.23andme.377	-2.254685	17278	181.0	M
7931.ancestry.6284	0.867598	15673	175.3	M
7954.23andme.6303	-1.686425	13024	169.0	F
7967.23andme.6312	-7.019588	8675	162.6	F
7968.23andme.6314	-1.448642	8368	180.3	
7989.23andme.6330	-0.509027	17578	162.6	F
7992.23andme.6331	-1.744118	4376	177.8	M
8015.ftdna-illumina.6351	5.603992	13282	200.0	
803.23andme.383	2.878656	17801	165.0	F
8049.ancestry.6381	1.300977	15799	180.3	M
8052.ftdna-illumina.6384	-1.035455	13534	176.0	M
8058.23andme.6391	-1.522902	8680	167.6	F
807.23andme.389	-1.857089	17324	177.8	M
8076.23andme.6405	-2.496129	8677	155.0	F
808.23andme.390	-0.165556	17861	183.0	M
8085.ftdna-illumina.6426	-1.354537	13520	167.0	M
8089.23andme.6429	-1.083485	8673	175.3	
8090.23andme.6431	-2.559917	12571	171.0	M
8100.23andme.6442	-3.033216	8367	180.3	M
811.23andme.393	-0.646759	17877	165.1	F
8129.23andme.6463	5.678502	17623	177.8	
8132.ftdna-illumina.6465	2.946340	13696	172.7	F
8134.23andme.6467	-3.369110	8363	162.6	M
8139.ancestry.6472	-2.909395	16245	149.9	
8155.23andme.6526	-1.222195	8630	184.0	
8158.ancestry.6492	1.881850	15658	188.0	
8184.23andme.6521	-5.484800	8355	167.6	M
820.23andme.397	-3.026282	17240	177.0	
8203.23andme.6542	-0.090721	12856	183.0	M
8204.ancestry.6543	-0.396069	16261	165.1	F
8206.23andme.6545	-4.805368	8364	170.2	M
8217.23andme.6558	-2.241532	8371	184.0	M
8238.23andme.6572	-1.253605	8373	182.9	
8274.ancestry.6608	-0.766305	14022	170.2	
8301.23andme.6630	-0.315327	13011	167.6	F
8314.23andme.6645	-4.489144	8673	170.2	
8318.23andme.6649	-0.436457	17648	167.6	
8319.ancestry.6651	0.294687	15796	188.0	M
832.23andme.410	0.493675	17325	185.4	
8327.ancestry.6658	-4.303099	13613	170.2	M
8360.ancestry.6688	2.881343	16439	162.6	
8363.23andme.6691	1.033026	12996	172.0	F
8383.23andme.6715	-3.301101	8675	162.6	F
8384.23andme.6717	-0.412851	8370	180.3	M
8387.23andme.6719	-3.579237	13018	170.2	F
839.23andme.415	-1.022548	17313	182.0	
8393.23andme.6723	-1.916579	8678	175.0	
8416.23andme.6745	1.526152	12970	172.7	
842.23andme.417	-2.186616	17898	160.0	F
8423.23andme.6750	0.479341	8373	188.0	M
8427.ftdna-illumina.6753	-0.435316	13689	165.1	F
8432.ftdna-illumina.6810	-3.244680	13537	157.5	
8449.23andme.6813	-2.317602	8375	170.2	M
8463.23andme.6827	-3.253163	8367	190.5	M
8466.ancestry.6829	-0.265106	16248	170.2	F
8469.ftdna-illumina.6833	-1.017409	13612	193.0	M
8483.23andme.6848	-6.516672	8311	165.1	
8499.ftdna-illumina.6869	-0.484515	13675	155.0	F
8529.ancestry.6890	2.627521	16262	162.6	
8534.ancestry.6896	-2.554920	15939	180.3	
8538.ancestry.6898	-1.812778	16468	160.0	F
854.23andme.424	1.258933	17170	180.0	
8547.ftdna-illumina.6908	0.458341	13272	179.0	M
8554.23andme.6915	-4.374745	8357	185.4	M
8563.ancestry.6927	-1.827413	16530	152.4	
8592.ftdna-illumina.6955	-2.312406	13538	172.7	M
8598.23andme.6959	-2.515277	8338	177.8	
8634.23andme.6990	0.420736	12592	192.0	
8656.ancestry.7008	-1.228092	16471	177.8	F
8666.ancestry.7017	-2.963915	15939	177.8	M
8675.23andme.7024	-3.754982	8653	172.7	F
8707.ftdna-illumina.7050	-1.759789	13684	162.6	F
8715.ancestry.7055	2.290227	16170	167.6	F
8731.23andme.7067	-5.535615	8359	182.9	M
8734.23andme.7065	-0.785815	8674	177.8	
8737.23andme.7075	1.005858	17006	188.0	M
8739.ancestry.7073	2.102757	15797	170.2	
8780.ftdna-illumina.7119	-4.936350	9924	183.0	M
8783.23andme.7124	-4.814917	8347	172.0	M
8787.23andme.7132	-0.009750	8535	170.2	
8803.23andme.7146	-3.054958	8661	172.7	F
8808.23andme.7151	-2.147940	8663	160.0	F
8818.23andme.7166	-2.487058	8303	170.2	M
8840.23andme.7183	-4.786448	8668	160.0	
8844.ancestry.7191	1.450737	15622	193.0	
885.23andme-exome-vcf.994	0.837169	17879	182.9	M
8851.23andme.7196	-3.471369	8677	175.3	
8864.23andme.7207	-2.573890	8662	160.0	F
887.23andme.432	-1.447922	17291	172.7	M
8883.23andme.7220	-3.078065	12585	182.0	M
8885.ancestry.7222	0.478039	14050	177.8	F
8905.23andme.7239	-2.461096	8682	157.5	
8911.23andme.7244	-2.492331	8665	167.6	
8915.23andme.7249	0.872892	17934	190.0	M
8930.ftdna-illumina.7263	-2.255777	10516	168.0	
8933.ftdna-illumina.7266	-2.190933	9795	175.0	M
8934.23andme.7318	-3.588812	8354	182.9	M
8951.23andme.7291	-3.591598	13481	160.0	
8977.23andme.7322	0.304342	13011	164.0	F
898.23andme.441	2.434477	17316	190.0	
8988.23andme.7333	-0.243388	8659	165.1	F
899.23andme.436	2.957093	17707	167.6	
8990.ancestry.7334	-1.703847	16520	176.0	F
8991.ftdna-illumina.7335	-1.949645	13532	172.7	M
903.23andme.438	-4.401604	17224	182.9	
9036.ancestry.7374	0.767226	16256	160.0	
9039.ancestry.7382	0.991447	16526	165.1	
9046.ancestry.7394	-0.068564	16527	162.6	F
9072.23andme.7413	-2.028222	8634	175.3	F
9076.23andme.7415	-2.105873	8341	177.0	M
9081.ancestry.7421	-0.916328	15944	175.3	M
9101.23andme.7443	-2.971980	8653	172.7	F
9107.ftdna-illumina.7449	1.145905	13539	172.0	F
9112.23andme.7454	0.795995	8321	190.5	
912.23andme.450	-1.896741	17703	155.0	F
9126.23andme.7468	-1.544151	8649	156.2	
9129.ancestry.7470	3.329810	16258	167.6	F
915.23andme.451	0.929789	17887	182.9	M
916.23andme.452	-3.199259	17883	182.9	M
9164.ancestry.7500	-0.716585	16534	165.1	F
918.23andme.454	2.089196	17873	167.6	F
9185.23andme.7516	-1.035694	12806	170.2	F
9195.23andme.8585	0.000000	0	169.0	M
9211.23andme.7539	-4.635986	8361	176.0	
9215.23andme.7543	-0.050205	8333	193.0	M
9218.ancestry.7545	-0.406795	16533	175.3	F
9232.23andme.7556	-0.385172	17822	165.1	F
9246.23andme.7572	-2.648864	8379	182.0	M
9247.ancestry.7574	4.262043	15800	193.0	M
9248.23andme.7575	-2.862448	8614	162.6	F
925.23andme.3022	-4.991797	17078	167.6	
926.23andme.463	0.445801	17310	195.0	M
9274.23andme.7593	0.565211	8348	172.7	M
9276.23andme.7595	-2.480646	8673	162.6	F
9278.ancestry.7597	-1.767910	13975	157.5	F
9281.ancestry.7602	-2.942670	16511	165.1	F
9314.ancestry.7631	-3.371186	16537	167.6	F
9323.23andme.7636	-3.412164	13009	175.3	
9324.23andme.7637	-3.897628	8362	183.0	M
9336.ancestry.7644	-3.482967	15939	190.5	
9351.23andme.7663	-8.189215	8364	176.0	M
9360.23andme.8649	-3.536091	8346	160.0	
9367.23andme.7675	-1.272222	8670	162.6	F
9369.23andme.7677	-3.611865	8509	160.0	F
9375.23andme.8039	-5.496784	8352	180.3	M
9380.23andme.7686	-2.621674	8637	157.5	F
9388.ftdna-illumina.7696	1.167276	13491	198.1	
9413.ancestry.7715	-4.358480	15797	180.3	M
943.23andme.470	2.000628	17153	170.2	M
9430.23andme.7729	-3.204780	8686	160.0	F
9453.23andme.7753	0.806922	8332	182.9	M
9471.ancestry.7768	-2.718927	15941	183.0	M
9485.23andme.7778	-3.015457	12589	172.7	M
9486.23andme.7780	1.482129	21202	190.0	M
9507.ancestry.7804	-2.591760	15910	180.0	M
9516.23andme.7810	-1.025091	8359	190.5	
9518.23andme.7812	-4.638957	8366	177.8	M
952.23andme.475	5.468393	17049	203.2	
9528.23andme.7819	-4.021343	13019	160.0	F
9539.ancestry.7827	-4.277683	13514	172.7	M
954.23andme.478	-1.253480	17192	182.9	M
9565.23andme.7839	-3.383005	8323	175.0	M
9568.23andme.7842	-0.405600	8377	188.0	M
9575.23andme-exome-vcf.7849	-2.728770	8535	192.0	M
9616.23andme.7878	-0.772941	8661	160.0	F
966.23andme.479	2.809003	17642	172.7	F
9672.23andme.7942	-3.210723	8668	170.2	F
9702.23andme.8548	-7.084838	8675	149.9	F
9707.ancestry.7974	0.111256	16449	152.4	
972.23andme.483	-2.234930	17072	179.0	M
9720.23andme.7985	-2.617251	8338	172.7	M
9724.ftdna-illumina.7988	-2.798812	9780	182.9	M
9726.23andme.7992	-2.970780	8363	180.0	M
9743.23andme.8000	-2.348097	8671	165.1	F
9752.ancestry.8006	-2.504691	16526	152.4	F
9784.ancestry.8038	-0.894042	16526	167.6	F
9817.23andme.8354	3.561783	20259	195.0	
9822.23andme.8081	-1.764747	12550	169.0	M
9835.ancestry.8091	-0.638134	16534	157.5	F
9839.23andme.8097	-0.995651	12979	162.6	F
9862.ancestry.8116	-3.045932	15619	177.8	M
9869.23andme.8128	-4.877158	8330	175.3	M
990.23andme.492	-4.136597	17275	165.1	M
9905.ancestry.8173	-4.028458	16498	165.1	F
9906.ancestry.8174	0.552650	16529	168.0	F
9941.ftdna-illumina.8207	1.352645	13800	169.0	M
9974.ancestry.8238	-2.973766	16517	160.0	F
9979.ftdna-illumina.8244	-4.793232	10108	179.0	M
999.23andme.856	-2.107697	16989	175.0	M
