genome_id	pgs	matched	height_cm	sex
1193.23andme.628	-0.848774	17506	168.9	F
11931.ancestry.9804	0.702852	15932	181.0	M
11935.23andme.9807	-2.302809	8634	172.7	
11944.ftdna-illumina.9815	-9.988669	10110	152.4	F
1196.23andme.631	2.408640	17094	172.7	
11985.ancestry.9850	-3.875127	15938	174.0	M
1201.23andme.633	-1.890536	17552	170.2	
12010.23andme.9873	0.282549	12979	183.0	F
12026.23andme.9886	-3.535948	8668	167.6	
1213.23andme.642	0.500813	17589	162.6	
1215.23andme.645	1.099978	17540	176.0	F
1221.23andme.648	3.861810	17094	195.0	
12214.ancestry.10061	-0.474418	15928	178.0	M
12235.23andme.10082	-4.781126	8322	180.3	
12246.ancestry.10089	2.315663	16264	169.0	F
12258.23andme.10097	-2.673154	8339	164.0	M
1227.23andme.651	4.809713	16958	185.4	
12272.23andme.10107	-3.069177	8676	152.4	
12289.ancestry.10122	-0.013420	13441	188.0	M
12299.23andme.10131	-3.554253	8749	157.5	F
12302.ftdna-illumina.10290	-0.320023	9919	177.0	M
12324.ftdna-illumina.10159	-1.054764	9758	185.0	M
1233.23andme.652	0.435793	17481	165.1	
1235.23andme.654	-1.678756	17570	162.6	
12490.23andme.10301	-6.822099	17819	152.4	
12496.23andme.10307	-5.426738	8415	167.6	M
12562.23andme.10376	-5.080723	8362	185.4	M
1258.23andme.664	0.748264	17063	160.0	M
1269.23andme.673	1.376773	17613	160.0	F
1288.23andme.686	1.392838	17835	167.6	
1290.23andme.688	-1.294293	17102	180.3	
1312.23andme.720	-4.778909	17287	162.6	
1325.23andme.706	2.154446	17631	165.1	
1366.23andme.721	4.175163	17866	172.7	F
1375.23andme.726	-0.679050	17875	160.0	F
1378.23andme.9427	2.107174	13014	172.7	F
1379.23andme.730	-1.969716	17549	162.6	F
1382.23andme.733	-0.826527	17558	160.0	F
1384.23andme.734	-0.020122	17079	177.8	M
1390.23andme.741	0.641104	17461	160.0	
1392.23andme.742	5.889539	17533	172.7	F
1403.23andme.751	0.000000	0	157.5	F
1409.23andme.757	-4.395964	17051	160.0	
1412.23andme.759	3.848905	17584	177.8	
1447.23andme.789	-1.791960	17864	157.5	
1459.23andme.799	0.521698	17636	142.2	
1465.23andme.803	-0.724636	17653	160.0	F
1470.23andme.807	-1.152064	17057	177.8	M
