genome_id	height_cm	sex
8977.23andme.7322	164.0	F
8934.23andme.7318	182.9	M
8951.23andme.7291	160.0	
8933.ftdna-illumina.7266	175.0	M
8930.ftdna-illumina.7263	168.0	
8915.23andme.7249	190.0	M
8911.23andme.7244	167.6	
8905.23andme.7239	157.5	
8885.ancestry.7222	177.8	F
8883.23andme.7220	182.0	M
8864.23andme.7207	160.0	F
8851.23andme.7196	175.3	
8844.ancestry.7191	193.0	
8840.23andme.7183	160.0	
8818.23andme.7166	170.2	M
8808.23andme.7151	160.0	F
8803.23andme.7146	172.7	F
8787.23andme.7132	170.2	
8783.23andme.7124	172.0	M
8780.ftdna-illumina.7119	183.0	M
5943.ancestry.7109	160.0	F
8737.23andme.7075	188.0	M
8739.ancestry.7073	170.2	
8731.23andme.7067	182.9	M
8734.23andme.7065	177.8	
8715.ancestry.7055	167.6	F
8707.ftdna-illumina.7050	162.6	F
8675.23andme.7024	172.7	F
8666.ancestry.7017	177.8	M
8656.ancestry.7008	177.8	F
8655.ancestry.7006	162.6	F
8634.23andme.6990	192.0	
8598.23andme.6959	177.8	
8592.ftdna-illumina.6955	172.7	M
8563.ancestry.6927	152.4	
8561.23andme.6923	193.0	M
8554.23andme.6915	185.4	M
4696.ftdna-illumina.6913	178.0	F
8547.ftdna-illumina.6908	179.0	M
8538.ancestry.6898	160.0	F
8534.ancestry.6896	180.3	
8529.ancestry.6890	162.6	
8499.ftdna-illumina.6869	155.0	F
8483.23andme.6848	165.1	
8469.ftdna-illumina.6833	193.0	M
8466.ancestry.6829	170.2	F
8463.23andme.6827	190.5	M
8449.23andme.6813	170.2	M
8432.ftdna-illumina.6810	157.5	
8427.ftdna-illumina.6753	165.1	F
8423.23andme.6750	188.0	M
8416.23andme.6745	172.7	
8393.23andme.6723	175.0	
8387.23andme.6719	170.2	F
8384.23andme.6717	180.3	M
8383.23andme.6715	162.6	F
8369.23andme-exome-vcf.6698	179.0	M
8363.23andme.6691	172.0	F
8360.ancestry.6688	162.6	
8327.ancestry.6658	170.2	M
8319.ancestry.6651	188.0	M
8318.23andme.6649	167.6	
8314.23andme.6645	170.2	
8301.23andme.6630	167.6	F
8274.ancestry.6608	170.2	
8238.23andme.6572	182.9	
8217.23andme.6558	184.0	M
8206.23andme.6545	170.2	M
8204.ancestry.6543	165.1	F
8203.23andme.6542	183.0	M
8155.23andme.6526	184.0	
8184.23andme.6521	167.6	M
8158.ancestry.6492	188.0	
8139.ancestry.6472	149.9	
8134.23andme.6467	162.6	M
8132.ftdna-illumina.6465	172.7	F
8129.23andme.6463	177.8	
8100.23andme.6442	180.3	M
8090.23andme.6431	171.0	M
8089.23andme.6429	175.3	
8085.ftdna-illumina.6426	167.0	M
8076.23andme.6405	155.0	F
8058.23andme.6391	167.6	F
8052.ftdna-illumina.6384	176.0	M
8049.ancestry.6381	180.3	M
8015.ftdna-illumina.6351	200.0	
6882.23andme.6340	167.6	
7992.23andme.6331	177.8	M
7989.23andme.6330	162.6	F
7968.23andme.6314	180.3	
7967.23andme.6312	162.6	F
7954.23andme.6303	169.0	F
7931.ancestry.6284	175.3	M
7915.23andme.6262	187.0	M
7912.ftdna-illumina.6259	170.2	F
7898.23andme.6245	190.5	M
7876.23andme.6234	177.8	F
7856.ancestry.6210	162.6	
7841.23andme.6196	160.0	F
7828.ftdna-illumina.6185	166.0	F
6861.23andme.6156	167.6	
7785.23andme.6141	165.1	
7783.23andme.6137	182.9	F
7781.ancestry.6136	177.8	M
7757.ancestry.6122	162.0	
7759.23andme.6108	165.1	M
7753.ancestry.6103	168.9	M
7735.ancestry.6084	149.9	F
7732.ftdna-illumina.6077	179.0	M
3068.ftdna-illumina.6076	175.3	
7707.ancestry.6050	160.0	F
7701.23andme.6045	157.5	
7693.ancestry.6038	162.6	F
6949.ancestry.6034	177.8	M
7688.ftdna-illumina.6032	157.5	F
7685.23andme.6030	165.1	
7657.23andme.6002	172.7	F
7639.23andme.5983	157.5	F
7616.ftdna-illumina.5965	180.3	M
4185.23andme.5962	167.6	F
7613.ancestry.5960	175.3	F
7610.23andme.5957	169.0	M
7163.ftdna-illumina.5947	186.0	M
7597.ftdna-illumina.5943	152.4	F
7585.23andme.5932	167.6	
7572.ancestry.5917	175.3	M
7569.ancestry.5915	149.9	F
7567.ancestry.5913	180.3	M
7561.ancestry.5907	161.3	F
7549.23andme.5899	170.0	
7547.23andme.5897	155.0	F
7538.ftdna-illumina.5884	186.0	
7527.ftdna-illumina.5879	175.3	F
7500.ancestry.5845	188.0	M
7493.23andme-exome-vcf.5843	152.4	F
7498.ancestry.5842	167.6	F
7485.23andme.5830	170.2	F
7475.23andme.5821	167.6	F
7470.ancestry.5817	170.2	F
7466.23andme.5813	185.4	M
7454.ancestry.5806	177.8	M
7413.23andme.5763	167.6	
7379.23andme.5731	172.7	
7376.ancestry.5729	175.3	M
7372.ftdna-illumina.5726	175.3	M
7360.23andme.5718	170.2	M
7359.23andme.5717	172.7	F
4897.23andme.5715	172.7	M
7339.ancestry.5702	172.7	
7320.23andme.5688	182.9	M
7311.ancestry.5679	172.0	
7307.ancestry.5676	170.2	M
4066.23andme.5667	188.0	
7297.ancestry.5666	162.6	
7281.ancestry.5652	183.0	
7280.23andme.5651	167.6	F
7266.23andme.5643	180.3	F
7252.23andme.5631	180.3	M
7244.ancestry.5624	187.0	
7231.23andme.5611	149.9	F
7229.23andme.5609	180.3	
7228.ancestry.5608	180.3	F
7218.23andme.5600	183.0	
7214.23andme.5596	172.7	
7195.23andme.5578	180.3	M
7190.ancestry.5574	172.7	F
7189.ancestry.5572	187.0	M
7184.ancestry.5566	152.4	F
7153.23andme.5550	190.5	M
7144.23andme.5543	180.3	M
7141.ancestry.5540	165.1	F
7134.ancestry.5536	177.8	M
7127.23andme.5529	172.0	M
7119.23andme.5524	188.0	M
7099.ancestry.5502	162.6	F
7098.23andme.5501	180.3	F
7089.23andme.5488	160.0	F
7053.23andme.5459	170.2	F
7028.ancestry.5438	182.9	M
7020.23andme.5431	182.9	M
7011.ancestry.5423	172.7	M
6993.23andme.5413	149.9	
6971.23andme.5370	160.0	F
6965.23andme.5362	160.0	
6959.ftdna-illumina.5360	186.0	M
6943.23andme.5343	182.9	M
6935.ancestry.5333	175.3	F
5633.ancestry.5318	160.0	
6916.ancestry.5306	152.4	F
6885.ftdna-illumina.5254	160.0	F
6873.23andme.5244	177.8	M
6869.23andme.5242	149.9	F
6866.23andme.5241	170.2	F
6858.23andme.5234	172.7	M
6832.23andme.5214	167.6	F
6828.ancestry.5211	175.3	
6815.23andme.5202	162.6	F
6814.23andme.5201	176.0	
6805.23andme.5189	157.5	F
6793.23andme.5176	160.0	F
6745.23andme.5134	180.3	
6725.23andme.5116	182.9	
6704.ftdna-illumina.5096	183.0	M
6699.23andme.5093	152.4	
6695.ftdna-illumina.5091	160.0	F
6667.IYG.5067	185.4	M
6665.ancestry.5064	167.6	M
6639.23andme.5043	157.5	
6633.ancestry.5035	175.3	F
6583.23andme.4994	162.6	F
6589.23andme.4987	190.5	M
6573.23andme.4971	152.4	F
6560.23andme.4957	160.0	F
6510.23andme.4918	183.0	M
6493.ancestry.4913	160.0	F
6263.23andme.4912	180.3	M
6483.23andme.4903	160.0	F
6381.23andme.4872	190.5	M
6373.23andme-exome-vcf.4863	190.5	
6367.23andme.4857	175.3	F
6321.23andme-exome-vcf.4813	157.5	F
6296.ancestry.4789	177.8	
6257.23andme.4754	162.6	F
6247.ftdna-illumina.4742	183.0	
6238.23andme.4736	172.7	F
6228.ftdna-illumina.4730	186.0	M
6221.ancestry.4725	167.6	F
