genome_id	height_cm	sex
2023.23andme.1203	175.3	F
2013.23andme.1197	190.5	
2008.23andme.1193	162.6	F
2004.23andme.1189	167.6	F
2000.23andme.1184	155.0	F
1996.23andme.1182	167.6	F
1987.23andme.1174	168.0	M
1985.23andme.1171	185.4	
1984.23andme.1170	170.2	F
1980.23andme.1166	195.6	M
1970.23andme.1158	162.6	
1968.23andme.1156	157.5	F
1887.23andme.1123	180.3	M
1879.23andme.1117	170.2	
1871.ftdna-illumina.1110	157.5	
1848.23andme.1091	183.0	M
1833.23andme.1081	160.0	
1825.23andme.1070	188.0	
1777.23andme.1043	188.0	M
1785.23andme.1041	162.6	
1764.23andme.1025	175.3	M
1759.23andme.1022	165.1	F
1742.23andme.1010	160.0	F
1738.23andme.1007	177.8	
1737.ancestry.1005	167.6	
1735.ftdna-illumina.1003	170.2	F
885.23andme-exome-vcf.994	182.9	M
1718.23andme.993	185.4	
1712.23andme.988	165.1	F
1678.23andme.962	170.2	
1647.ancestry.939	162.6	F
1641.23andme.935	185.4	M
1627.23andme.925	180.0	M
1599.ftdna-illumina.900	181.0	M
1578.23andme.883	170.2	M
1566.23andme.876	182.9	M
1561.ftdna-illumina.871	171.0	
999.23andme.856	175.0	M
1525.23andme.842	177.8	M
1514.23andme.832	172.7	M
1503.23andme.821	152.4	
1499.23andme.818	157.5	F
1491.ftdna-illumina.810	160.0	
1470.23andme.807	177.8	M
1465.23andme.803	160.0	F
1459.23andme.799	142.2	
1447.23andme.789	157.5	
1412.23andme.759	177.8	
1409.23andme.757	160.0	
1403.23andme.751	157.5	F
1392.23andme.742	172.7	F
1390.23andme.741	160.0	
1384.23andme.734	177.8	M
1382.23andme.733	160.0	F
1379.23andme.730	162.6	F
1375.23andme.726	160.0	F
1366.23andme.721	172.7	F
1312.23andme.720	162.6	
1325.23andme.706	165.1	
1290.23andme.688	180.3	
1288.23andme.686	167.6	
1269.23andme.673	160.0	F
1258.23andme.664	160.0	M
1235.23andme.654	162.6	
1233.23andme.652	165.1	
1227.23andme.651	185.4	
1221.23andme.648	195.0	
1215.23andme.645	176.0	F
1213.23andme.642	162.6	
1201.23andme.633	170.2	
1196.23andme.631	172.7	
1193.23andme.628	168.9	F
1192.23andme.627	178.0	
1190.23andme.626	172.7	F
1173.23andme.609	165.1	
1172.23andme.608	165.1	
1171.23andme.607	172.7	F
1100.23andme.606	179.0	M
1163.23andme.603	180.3	M
1165.23andme.602	167.6	
1147.23andme.598	170.2	M
1084.ftdna-illumina.597	180.3	
1133.23andme.587	192.0	
1131.23andme.585	170.2	
1125.23andme.582	182.9	M
1121.23andme.578	157.5	
1114.23andme.574	193.0	M
1112.23andme.573	183.0	
1033.23andme.567	190.5	
1103.23andme.565	167.6	
1089.23andme.559	170.2	F
1085.23andme.557	178.0	
1081.23andme.556	162.6	
1080.23andme.555	167.6	
1079.23andme.554	155.0	
1078.ancestry.553	162.6	
1071.23andme.552	180.0	M
1077.23andme.551	185.4	M
1075.23andme.550	157.5	F
1074.ancestry.549	165.1	
685.23andme.545	165.0	
1063.23andme.540	190.5	
1060.23andme.536	190.5	M
1059.23andme.535	182.9	M
1058.23andme.533	165.1	
1046.23andme.527	175.3	
1040.23andme.522	177.8	
1039.23andme.521	183.0	M
1038.23andme.520	162.6	F
1035.ancestry.518	167.6	F
1029.23andme.515	162.6	F
1022.23andme.508	190.0	
1020.23andme.507	172.7	M
319.23andme.504	157.5	
1010.23andme.502	182.9	M
990.23andme.492	165.1	M
972.23andme.483	179.0	M
966.23andme.479	172.7	F
954.23andme.478	182.9	M
952.23andme.475	203.2	
945.ftdna-illumina.472	177.8	M
669.23andme.471	180.3	M
943.23andme.470	170.2	M
926.23andme.463	195.0	M
918.23andme.454	167.6	F
916.23andme.452	182.9	M
915.23andme.451	182.9	M
912.23andme.450	155.0	F
466.23andme.447	175.3	M
898.23andme.441	190.0	
903.23andme.438	182.9	
899.23andme.436	167.6	
887.23andme.432	172.7	M
881.ftdna-illumina.429	188.0	M
854.23andme.424	180.0	
842.23andme.417	160.0	F
839.23andme.415	182.0	
835.IYG.412	182.0	M
832.23andme.410	185.4	
609.23andme.401	182.0	M
820.23andme.397	177.0	
811.23andme.393	165.1	F
810.ftdna-illumina.391	186.0	M
808.23andme.390	183.0	M
807.23andme.389	177.8	M
758.23andme.387	180.3	M
803.23andme.383	165.0	F
792.23andme.377	181.0	M
782.23andme.371	170.2	F
779.23andme.369	177.0	M
777.23andme.367	170.2	M
775.23andme.365	177.8	M
762.23andme.361	162.6	F
754.23andme.356	182.9	M
749.23andme.355	180.3	M
748.23andme.354	170.2	
735.23andme.344	165.1	M
734.ftdna-illumina.343	160.0	F
726.23andme.338	180.3	M
721.23andme.336	160.0	F
717.23andme.333	190.5	M
703.ftdna-illumina.324	172.7	F
704.23andme.323	177.8	M
180.23andme.322	185.4	M
693.23andme.321	185.4	M
684.23andme.319	170.2	F
328.23andme.316	184.0	M
678.23andme.315	182.9	M
675.23andme.313	160.0	F
610.23andme.301	172.7	M
651.23andme.300	179.0	M
650.23andme.299	174.0	M
646.23andme.297	170.2	M
644.23andme.295	172.7	M
637.23andme.293	188.0	M
602.23andme.279	183.0	M
595.23andme.277	170.2	F
594.23andme.276	180.3	M
503.23andme.274	167.6	F
589.23andme.273	190.5	M
583.23andme.268	178.0	M
187.23andme.267	185.4	M
580.23andme.265	160.0	M
579.ftdna-illumina.264	170.2	F
574.23andme.262	178.0	M
569.23andme.260	175.3	F
563.23andme.258	172.7	M
561.23andme.257	162.6	F
556.23andme.254	172.7	M
539.23andme.246	165.1	
533.23andme.242	185.4	M
528.23andme.240	162.6	M
26.23andme-exome-vcf.237	188.0	M
512.23andme.233	188.0	
502.23andme.226	160.0	F
497.23andme.224	182.9	M
495.23andme.223	157.5	F
488.23andme-exome-vcf.219	160.0	M
483.23andme.216	162.6	F
481.23andme.215	182.0	M
35.23andme-exome-vcf.210	180.0	M
468.23andme.200	160.0	F
441.23andme.199	178.0	M
463.23andme.197	175.0	F
345.23andme.192	172.7	F
437.23andme.190	172.7	M
429.23andme.187	170.2	M
397.23andme.178	185.4	M
11.23andme.176	177.8	M
380.23andme.172	183.0	M
366.23andme.167	182.9	M
357.23andme.163	183.0	M
352.23andme.161	155.0	
86.23andme.159	177.8	M
347.23andme.157	155.0	F
341.23andme.155	160.0	F
160.23andme.153	172.7	F
337.23andme.152	182.9	
339.ftdna-illumina.150	180.0	M
325.23andme.149	175.0	M
330.23andme.146	188.0	M
17.23andme.143	172.7	F
305.23andme.133	177.8	M
294.23andme.125	188.0	
288.23andme.121	165.1	
285.23andme.118	185.4	M
279.23andme.113	167.6	F
279.23andme.113	167.6	F
279.23andme.113	167.6	F
216.23andme.109	193.0	M
241.23andme.107	183.0	M
268.23andme.106	162.6	
266.23andme.104	165.1	
262.23andme.103	188.0	
258.23andme.101	180.0	M
251.23andme.97	165.1	F
203.ftdna-illumina.87	155.0	
199.23andme.86	189.0	
177.23andme.78	168.0	M
159.23andme.67	165.1	
158.23andme.66	177.8	
154.23andme.65	172.7	
146.23andme.62	180.0	
141.23andme.60	193.0	M
137.23andme.58	188.0	
123.23andme.54	177.8	
99.23andme.49	176.0	M
80.23andme.41	188.0	
71.ftdna-illumina.38	167.6	
40.23andme.32	175.3	
64.23andme.30	188.0	
60.23andme.27	172.7	M
33.23andme.12	172.7	M
8.23andme.2	171.0	F
